dates,brand,total_users_reached,total_cost,sponsored_products_s,sponsored_products_u,sponsored_brands_s,sponsored_brands_u,video_s,video_u,OTT_s,OTT_u,sponsored_display_s,sponsored_display_u,display_s,display_u,sales,converted_users
2022-09-09,Brand G,1622501,20096.977979999985,7878.539999999994,3489,0.0,0,0.0,0,2868.897749999999,108435,0.0,0,9349.540229999991,1510577,31486.93,4024
2022-09-09,Brand LA,804217,4670.2957699999915,0.0,0,0.0,0,209.34340999999984,21433,0.0,0,0.0,0,4460.952359999992,782784,1943.41,576
2022-09-09,Brand LO,4020161,30437.089909999995,13051.21000000001,8895,0.0,0,0.0,0,0.0,0,0.0,0,17385.879909999985,4011266,82010.2,10868
2022-09-09,Brand M,2457944,34520.506589999975,17353.89999999999,15149,0.0,0,0.0,0,3723.4056000000046,150000,0.0,0,13443.200989999976,2292795,45701.57,9218
2022-09-09,Brand N,829865,13906.293800000003,10130.390000000005,11486,0.0,0,0.0,0,0.0,0,35.24000000000001,20,3740.6637999999984,818359,34621.08,5852
2022-09-09,Brand R,751757,7590.672269999988,265.79,148,0.0,0,0.0,0,0.0,0,0.0,0,7324.882269999988,751609,13121.63,1179
2022-09-10,Brand C,1800441,31510.27317,0.0,0,0.0,0,807.5399699999998,38559,22361.52824999998,399397,0.0,0,8341.204950000021,1362485,12660.25,3744
2022-09-10,Brand G,1594438,20342.501179999985,8105.160000000006,4043,0.0,0,0.0,0,3228.4783999999995,125093,0.0,0,9008.862779999978,1465302,32378.64,4138
2022-09-10,Brand LA,745908,4688.890679999993,0.0,0,0.0,0,192.31445999999988,19256,0.0,0,0.0,0,4496.576219999994,726652,1616.74,556
2022-09-10,Brand LO,4049646,33775.686839999995,16787.460000000025,11115,0.0,0,0.0,0,0.0,0,0.0,0,16988.226839999967,4038531,82527.25,11164
2022-09-10,Brand M,2520745,35988.54741000002,17083.3,15417,0.0,0,0.0,0,5164.706400000014,201390,0.0,0,13740.541010000008,2303938,46267.3,9182
2022-09-10,Brand N,870277,14986.713019999988,11301.699999999995,13151,0.0,0,0.0,0,0.0,0,16.09,11,3668.923019999994,857115,34648.75,5995
2022-09-10,Brand R,702592,7441.345650000002,367.01999999999975,175,0.0,0,0.0,0,0.0,0,0.0,0,7074.3256500000025,702417,11693.0,1124
2022-09-11,Brand C,1893986,26992.031879999948,0.0,0,0.0,0,663.7312399999986,35149,18396.759549999977,361281,0.0,0,7931.541089999973,1497556,14452.52,4184
2022-09-11,Brand G,1661485,21137.399209999996,9531.190000000004,4141,0.0,0,0.0,0,2572.740999999997,107427,0.0,0,9033.468209999995,1549917,34648.86,4486
2022-09-11,Brand LA,790887,4574.14389,0.0,0,0.0,0,182.1757099999998,17900,0.0,0,0.0,0,4391.968180000001,772987,2172.41,639
2022-09-11,Brand LO,4147066,34558.65604000003,17980.410000000036,10486,0.0,0,0.0,0,0.0,0,0.0,0,16578.24603999999,4136580,83229.21,11209
