brand,total_users_reached,total_cost,sponsored_products_s,sponsored_products_u,sponsored_brands_s,sponsored_brands_u,video_s,video_u,OTT_s,OTT_u,sponsored_display_s,sponsored_display_u,display_s,display_u,sales,converted_users
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,14316945,337858.0877937299,92316.61000000002,60788,21417.57,115148,51438.57202471989,1069306,51526.672037169934,1461520,0.0,0,121158.66373184003,11610183,372348.5,55630
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,14383478,357290.1427595598,98862.60000000006,65779,21769.840000000015,118859,60979.53033324981,1169352,54993.76209925991,1517758,6.38,2,120678.03032705002,11511728,395414.11,58627
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,15422606,388625.5554750393,97820.11999999991,64720,21831.71999999999,120086,49854.59443400981,1082388,97614.31798638964,2308651,0.0,0,121504.80305463998,11846761,422221.2,63208
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,17048660,478715.84619180195,103687.69999999995,67994,22222.530000000017,142413,36399.85557027993,916928,188470.09671318214,3665324,0.0,0,127935.66390833995,12256001,408954.42,61527
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,16939459,440503.15615088114,104352.31000000003,63998,22103.37999999999,151965,29338.496562409935,894617,151337.45030659126,3075300,6.17,2,133365.34928187996,12753577,407298.06999999995,63070
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,16827268,442214.6655644012,96292.38000000002,60072,20645.230000000014,138632,31891.634588819878,1072297,158172.94298345124,3419493,2.39,2,135210.08799213008,12136772,385010.0,61166
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,14502620,360900.794830651,61226.540000000015,37510,16011.369999999992,111036,28768.33672614989,1021771,148824.52469979122,3134213,0.0,0,106070.02340470995,10198090,341789.68,57930
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,8855983,205979.60549432994,75663.60000000002,45542,15525.239999999987,97871,6825.543440799992,325682,36640.16035378995,969905,0.0,0,71325.06169973999,7416983,317331.6,51713
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,8613000,211534.60083307998,86258.97000000009,52111,17197.650000000016,101677,35641.13852983987,1072824,0.0,0,15.2,6,72421.64230324,7386382,330661.42,52528
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,8692244,200558.4692475499,81580.51999999997,48740,17310.739999999983,101358,21080.85503276989,729474,7943.1879,201458,0.0,0,72643.16631478003,7611214,318193.79000000004,51678
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,8487141,203338.70848752,82680.71000000002,49406,17783.670000000002,96525,16348.391606939971,610520,12607.426369999986,355395,9.06,3,73909.45051058002,7375292,294193.0,46950
